loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
12738854.0,3569.153076171875,4958836.5,2226.844482421875
5680598.0,2383.400390625,4872928.5,2207.470947265625
5314237.0,2305.262939453125,4827250.5,2197.1005859375
5027944.5,2242.307861328125,4805228.5,2192.083251953125
4864372.5,2205.5322265625,4790957.5,2188.82568359375
4799348.5,2190.741455078125,4787519.0,2188.0400390625
4782083.0,2186.79736328125,4787056.5,2187.934326171875
4778575.5,2185.995361328125,4786622.5,2187.8349609375
4777788.5,2185.815185546875,4786659.0,2187.843505859375
4777705.5,2185.796142578125,4786506.0,2187.80859375
4777594.0,2185.770751953125,4786671.5,2187.846435546875
4777626.5,2185.7783203125,4786570.5,2187.8232421875
